0,1,2,3,4,5
-2.1527874,0.55715454,0.5529629,3.836373,3.159756,0.30431336
-2.1896546,0.5514849,0.5411786,3.8223622,3.179246,0.32791296
-2.2936182,0.5617781,0.5549989,3.921468,3.1353095,0.28073156
-2.2744803,0.54952216,0.5608171,3.8191993,3.3068101,0.27613643
-2.119778,0.5560268,0.5539056,3.8118565,3.1581724,0.30332932
-2.1420271,0.57084227,0.5526134,3.9734468,3.1253946,0.2997879
-2.0373743,0.5616294,0.56465065,3.8290842,3.1605723,0.29584968
-2.2951083,0.56928855,0.5372561,3.9573421,2.7646568,0.2840228
-2.3003094,0.56143796,0.5116377,3.9251783,2.8245294,0.27651855
-2.2958815,0.567899,0.5370446,3.9538362,2.841168,0.29066887
-2.1882646,0.5556484,0.55253714,3.8396666,3.1818075,0.31762415
-2.1411748,0.5528942,0.5527611,3.7910376,3.1618094,0.30624437
-2.279619,0.54947585,0.5592047,3.8205185,3.3038893,0.27579
-2.2993941,0.55041295,0.55818766,3.8459597,3.310098,0.2762802
-2.1883602,0.563509,0.55505073,3.9137297,3.14131,0.2941541
-2.296684,0.5619447,0.5387596,3.976331,3.1898837,0.32404232
-2.231848,0.55015945,0.5630656,3.8050504,3.2982526,0.2804442
-2.1103227,0.5504385,0.5538488,3.7531884,3.1697178,0.29845345
-2.2995632,0.5495804,0.55331045,3.8352604,3.2754462,0.27234635
-2.04288,0.55952626,0.56401914,3.8119566,3.1643786,0.29362908
-1.9992968,0.59505147,0.57038796,4.199093,3.1487029,0.26285034
-1.9349737,0.6000491,0.5781196,4.22799,3.156262,0.2635594
-2.0767207,0.55291045,0.5567322,3.7520185,3.156341,0.30593845
-2.2472584,0.5634983,0.5521421,3.932846,3.1310496,0.30724004
-2.2894807,0.56681836,0.55519295,3.9462774,2.961095,0.2822256
-2.2682133,0.55376077,0.53729314,3.8899486,3.1900957,0.32499415
-2.297075,0.5960542,0.51982325,4.220883,2.7295892,0.29532084
-2.273796,0.55866605,0.5526559,3.8979747,3.1748888,0.3120095
-2.299663,0.5538827,0.5487745,3.8697562,3.2228377,0.27416492
-1.9900215,0.5905491,0.57231504,4.1290383,3.1539237,0.27143115
-2.2831788,0.56140506,0.56305933,3.9091318,3.1396234,0.28024015
-1.9984504,0.55237716,0.56361544,3.705798,3.1561723,0.30291492
-2.300209,0.5596149,0.5142074,3.9120326,2.8616323,0.27728966
-2.2454064,0.55571795,0.5480854,3.8777657,3.2011914,0.31894177
-2.0369911,0.549906,0.56210953,3.690221,3.1633685,0.30248645
-2.0369337,0.574624,0.5643033,3.9822042,3.1635172,0.2778312
-2.2990298,0.55599153,0.5460855,3.8960876,3.2075596,0.28310767
-2.07196,0.55243707,0.5570488,3.7458742,3.1560137,0.3051039
-2.2956576,0.5693043,0.5372199,3.9569778,2.7645085,0.28468952
-2.278139,0.54915243,0.5475819,3.8183036,3.1751516,0.27551234
-2.2990324,0.5561881,0.5452437,3.9039407,3.2138472,0.2906437
-2.1890337,0.5633457,0.5551144,3.9122853,3.1432993,0.293869
-2.0251591,0.55597365,0.56252617,3.766997,3.154031,0.29794806
-2.2859244,0.5592527,0.55311155,3.9025536,3.1899512,0.32052
-2.2994697,0.55436194,0.55056435,3.8735442,3.2294636,0.27480754
-2.289699,0.5614139,0.5541551,3.9179177,3.1331553,0.28118378
-2.2428703,0.56294864,0.5525398,3.9232802,3.170094,0.3243484
-2.2516809,0.5566478,0.5509789,3.8668423,3.1709783,0.32576808
-2.0301437,0.5494323,0.56216365,3.6820135,3.1588602,0.30483294
-2.3003635,0.565893,0.5373794,3.970301,3.0621302,0.2778912
-2.299668,0.55060124,0.5575688,3.8426163,3.3183866,0.272608
-2.035661,0.5496672,0.5619981,3.6870103,3.1615849,0.30358076
-2.2959318,0.5966203,0.52155393,4.223088,2.7297606,0.29780915
-2.2995079,0.5549162,0.5490029,3.878203,3.2162955,0.2748367
-2.174937,0.5664275,0.5675801,3.8956594,3.0458057,0.29093334
-2.0980008,0.5501903,0.5555616,3.7363803,3.1561797,0.309001
-2.2832656,0.5494405,0.55889046,3.821896,3.3026013,0.27551284
-2.2960532,0.5965228,0.52139956,4.2226086,2.729634,0.29736266
-2.2990787,0.5497262,0.55271566,3.8355567,3.2759776,0.27286738
-2.282273,0.5420858,0.57802254,3.727685,3.3324785,0.28094053
-2.2950382,0.55495256,0.5504153,3.8879778,3.2415411,0.2832241
-2.2831333,0.5672932,0.55953735,3.947188,2.993159,0.28491494
