0,1,2,3,4,5,6,7
482584.2,476677.97,-155387.69,-488429.28,448330.25,12084.709,-69493.17,1047804.06
793727.94,703906.8,2659916.5,577453.2,394904.0,502859.4,602344.4,880847.9
1090343.1,170068.56,20682.936,940346.2,338747.84,12965.627,314423.6,1397656.2
1114520.9,712042.7,-389777.4,-1349510.5,356057.72,7367.118,-983003.9,2022292.5
-483620.5,-1557897.4,32890.938,207003.97,299531.47,941.5411,-1186088.6,1042045.9
752886.3,-837877.44,-692165.8,227398.62,709315.3,1917.4144,355328.62,1242336.5
375668.1,158128.31,18427.43,303979.06,459180.62,9945.431,482654.78,-141794.05
1165574.0,7085.601,18772.24,-1604485.5,622520.4,9027.626,-529986.25,-661158.94
1174317.5,259205.39,-1049439.2,1994666.5,265058.0,1508.683,336625.12,1432109.4
-465703.9,-442646.72,15203.78,-877458.4,499125.72,38975.098,446710.12,1409506.1
878981.5,861046.0,4468322.0,486341.03,419117.97,418119.0,598924.1,772864.25
-289859.12,192125.45,7370.5195,-1359633.0,753935.2,25652.34,279863.78,2147161.8
131026.27,322878.25,7215.915,371583.2,572466.1,9208.08,332559.34,1005887.25
-562770.9,194373.42,5113.0264,233143.8,365982.47,33021.81,-1376465.2,1257633.1
395377.22,526249.7,-3134648.0,441467.12,536236.75,18478.617,353261.1,1144785.9
1275898.5,-586296.06,-578671.56,315996.38,679215.0,6012.8296,-928506.25,1085698.8
-675942.44,54109.98,34048.812,-147417.1,369377.75,7325.4004,480245.22,1125802.9
-433188.12,-13991.306,-579857.1,-649017.6,465653.1,13074.172,-2433.7478,1008369.94
202888.44,235515.1,10008.314,-1547033.6,461249.78,19546.883,353070.28,1029352.4
824222.3,869235.94,1533.3083,222587.8,322713.38,16245.036,-1468517.0,985014.44
1417394.9,336827.97,5394.6816,-183243.48,318199.47,25458.365,605679.5,1291222.4
1397024.6,107167.78,6904.3867,1617824.2,428517.28,28573.283,421807.78,1514242.1
1492333.6,890034.9,3089.355,297814.97,412183.38,23497.947,-1471801.5,-860852.1
544043.94,1328666.9,56503.64,-2150151.5,383066.25,4623.5776,-964139.44,1256327.1
215878.44,-468970.0,3198.7822,-359758.4,349615.5,5513.45,625367.8,1286409.8
-176655.97,91385.03,-2091052.9,922712.44,360752.44,10168.397,382227.9,1088473.6
-339403.9,295208.62,9212.485,326739.5,720055.6,852.70557,282190.3,1090745.9
1272033.8,824442.2,947675.94,802986.44,570810.56,547881.25,684844.1,822799.3
508123.94,964521.75,1429.9266,-896992.94,464274.53,1022.32,314831.16,1877915.2
