0,1,2,3,4,5,6,7,8,9,10
-230718.67,230204.6,0.0010716193,0.0001699716,0.00095557,785388.0,338621.5,-1436585.9,494009.03,344908.97,-1647871.8
-193863.12,0.008561984,0.029728485,-74706.61,-341172.2,-275235.38,396152.06,-111188.836,36144.668,-227497.5,-2111154.8
1963734.2,-992645.56,0.022965657,-632061.2,369246.53,260788.55,60655.926,-116675.13,694361.06,2005163.2,-388182.3
22183.06,0.0041630864,0.014130554,0.053973336,384021.38,-220272.11,88547.78,-415368.9,-847395.7,634897.25,217782.92
489215.9,-454756.12,0.0037952717,0.012100524,456606.12,197787.36,500788.62,300347.97,-1222196.2,-817118.06,44746.387
27731.965,0.007072665,-331197.28,1031035.25,0.017229807,147659.06,948626.56,-41032.91,-1163611.9,591243.2,-239763.84
-610159.6,207686.08,0.014765748,-269140.38,-3750.301,-796602.6,-184723.97,375290.88,666359.2,555233.9,-1439315.0
-885134.2,0.0060653603,0.020080922,-582948.2,-498948.25,-693002.1,257046.55,-414854.22,-255239.9,1407488.8,43082.824
-635807.1,-51301.1,0.0029654629,3.8182872e-05,0.0006246031,-333675.84,-888955.9,-18356.15,-1012559.56,-1320511.2,22561.098
545014.8,-973418.25,0.0032624663,-0.0012278276,-0.0014576097,225335.47,86927.4,663006.94,-626342.06,-1667946.6,-1297219.6
-1084998.0,-1824859.5,0.000525925,-0.00062641373,-0.0001817958,-630701.56,-979709.5,660845.6,-1185465.0,-242079.44,-518001.72
23622.172,878576.94,59772.043,0.0007653917,-838346.06,-600630.7,-743653.94,156820.33,852465.4,0.02666056,238368.3
-1601445.6,-924902.0,1576211.4,-768879.2,-242665.8,-290966.72,-711916.6,1108056.8,-10681.515,0.058800645,-1316447.2
59874.086,-55260.656,793038.2,446219.84,0.0006898986,-964470.2,-280908.94,1046570.4,-318421.72,0.009639695,-82973.734
-397817.88,0.027975762,1213149.9,-0.00034344048,5.135569e-05,-1031634.5,198775.86,458065.84,312426.12,-669630.6,-214930.11
-1155879.6,-601980.75,-15830.683,-274009.4,0.0041630347,975581.0,1165247.1,52817.438,-725479.25,90302.195,-485188.5
173001.39,-497123.2,0.0018004014,-0.00059999916,-349726.34,-755353.75,686493.9,-238859.27,-1910054.1,-78569.61,-884471.8
368291.0,0.008858356,0.0044286,0.0015466134,0.006072759,322123.7,-15740.414,-290757.8,990148.4,-1371471.4,-1146106.1
-373256.88,-870140.2,-754914.75,-618955.7,0.019484628,-763291.7,-28792.91,-1190000.1,-745468.0,-300539.72,-533463.4
-627674.9,0.010353682,0.0013426021,0.00012711558,0.0006392997,-308339.3,567344.8,358235.94,-808651.8,0.0077226153,-957982.3
-298696.88,0.006067372,0.058722734,93424.77,474711.2,-483310.53,228409.53,-910273.3,-53670.44,0.079677016,-150839.45
-535247.25,0.012151632,0.00866917,-336312.78,918439.8,-893066.06,393713.75,526291.2,-657020.1,581450.6,-254899.52
828203.0,0.015784092,-963340.44,92412.21,218495.78,550499.7,208689.56,602251.75,-810372.4,577744.9,-515778.88
-750491.2,0.0030536142,0.0033148986,0.00041729666,0.0011079501,849244.5,-808596.6,-451231.0,-1492939.2,0.0064947964,-954240.5
-167833.98,-167945.23,80421.52,-2.259641e-05,201195.2,-787513.25,123309.56,-1324014.5,-586589.0,228841.03,-1023969.4
-913525.0,0.004737462,0.014074457,0.0059273927,545269.06,-306101.47,-787073.75,1118380.1,-981119.06,-189138.44,-1416062.4
1505207.6,0.0015186355,-467787.22,-0.00040816178,0.00016597382,247834.75,238286.4,1127303.1,-928441.56,73006.9,-846166.4
-977151.2,0.019801017,-1457422.2,64607.746,0.03224487,-777747.5,484986.28,434509.72,248156.03,0.051610358,72004.25
-494237.75,0.019725328,0.041305114,430463.28,-205783.0,56530.293,-1390920.5,676185.9,-443666.75,-450454.84,231902.42
-279467.12,1174361.6,58454.035,0.005696604,0.004395619,831406.75,-1590040.5,-142587.78,430979.4,-795674.2,-1277179.9
-516432.28,0.0079693,182755.34,-624030.0,-839857.9,141680.31,-1963966.4,-982546.9,-352847.22,0.059498843,-525873.2
844140.5,0.0065217046,231302.16,449766.12,0.026124194,693663.94,-139290.11,211800.83,-446434.4,-141010.17,754330.3
-858745.94,0.028640922,89940.92,-317627.3,-279902.2,16012.867,-602856.1,1023470.7,279304.34,-208658.58,65403.81
914191.0,-1040941.25,0.0023548116,0.0005260689,0.0011844044,-450599.97,60606.836,1170977.4,-1270855.5,0.00573825,533563.4
-887206.06,0.019040294,0.016713902,-454406.6,1068848.8,-686279.4,-638232.8,-61592.516,-736737.06,-1016639.4,-19012.832
1716349.6,0.032468405,22361.379,283513.2,827908.0,98801.22,891884.56,-376696.12,408243.38,-11799.676,126120.03
357686.7,0.010904151,118059.984,937756.56,-579100.25,266645.97,-795397.2,-494829.16,-444350.25,0.074727036,-511466.3
-833090.9,-1122524.6,-140201.16,-120992.83,218764.17,39540.934,-125384.086,181950.28,-1169015.2,-139605.25,392153.12
-299971.03,0.013955536,114846.18,52193.895,0.00048602145,502038.06,-425907.47,855318.06,-585124.56,0.010994417,-419031.56
