0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1247818.4,30045.229,-178415.98,-25587.129,93230.14,-1631775.4,2.9586225,786865.7,4.860463,-2873418.8,553929.5,3371775.8,-944345.4,2016197.4,-3440508.2,-3474254.0,-1316979.8,-119154.055,-737716.7,-574995.7,537163.9,920267.25,1.0691981,11844.186,1011272.6,346371.1,-2978429.8,-642370.44,-1173187.1,-1538090.2,-1368198.6,355730.12,-1783591.4,-1243518.6,195125.61,21.09788,-2296920.8,195364.77,-3357722.2,-442276.06,-1179556.0
23737.68,1280247.8,9184.875,-296148.94,-585170.25,-1781992.1,-1442702.9,1712252.6,-1965158.5,653.58105,-2423269.0,1399112.4,-1313882.1,-38886.176,-1480124.2,329.84143,1.0064136,440967.03,385479.8,627990.94,-317750.22,824111.75,-803928.7,1425965.4,144696.27,-1603177.5,-2617563.2,-23043.516,292064.7,28038.48,-1963684.8,-628212.8,-2852383.5,-4770841.5,-1337487.5,-428309.2,1837.0046,-4500938.0,-2364277.0,-713129.5,-1829946.1
937991.25,-1449532.1,13683.904,18337.568,1445509.4,518461.5,2.3413024,-690503.1,-263248.66,1.5044259,488552.47,-782892.6,-321521.6,-3438255.2,-4552510.5,2.0532126,0.97670716,-1777647.2,270424.06,463204.38,-566467.8,122901.61,0.9649078,-1319438.6,-1617956.4,-2052791.2,-2114969.8,175462.34,266846.03,2.970013,-3660817.2,-879869.2,717590.3,-1508758.1,1.1310632,3.9432027,2.6575618,-2045632.5,-3562224.2,-198057.2,605034.8
868695.75,783624.4,-751195.5,561590.2,396535.25,-484307.4,2.1007376,-8479.977,1.057034,1.002331,135240.7,357213.84,-416793.12,-995032.4,-1911301.2,2.0147853,0.9901711,-1057492.5,-280908.16,-232678.17,-1040891.56,399983.8,-1566620.4,-563931.25,-891786.06,-238844.25,-3238497.5,-60345.49,-2678124.0,0.8741154,2.2412868,-82561.734,-678257.0,417062.38,1.0202705,-1652508.0,2.4345706,-509655.62,-2389843.2,-94839.34,-1555322.1
-78927.8,2.7856698,-293165.72,-135707.39,-468421.7,-822831.0,1.9609659,277511.66,0.8558914,1.3487873,-776697.44,485781.94,-726731.8,1.4561433,-2292614.0,2.1650565,0.98775756,-634548.7,-1016982.75,-871106.2,-741154.1,313338.28,-3021655.5,-375559.28,-536570.75,-330368.66,-4815607.0,-783177.25,-668596.2,3.6082797,2.6491654,-1181233.2,-340999.53,-942500.4,1.0155529,3.9137638,2.5790417,-284120.03,-2563726.8,-633500.8,-266223.0
1326979.1,1653120.2,-690513.6,-908991.2,894246.1,290114.1,1.7630059,12401.182,439842.38,1.0676485,-463080.53,-985628.0,-318365.44,-1552658.9,-3330811.5,3.014267,0.9751213,-270439.88,-931619.3,-1429020.4,-194179.31,-201120.12,1.0041724,-527914.0,-1865114.1,-1430433.2,-2733492.2,-725131.2,-243095.19,5.300934,-2729818.2,-735327.75,361699.06,-680830.7,-1662833.2,3.8433733,2.4058526,-873278.3,-5133101.5,-47165.46,-1190839.5
648962.44,3.1585078,-239666.5,-531783.0,-1604884.5,629343.25,1.7994524,771177.75,-1483358.9,1.6118206,-1311179.4,-439455.8,3.6095495,310801.94,-3393172.8,2.1145728,0.99279433,-1385832.0,-1574043.4,-133571.64,445811.0,-718313.4,1.0254258,-323210.3,581503.2,216443.55,-1942213.9,-392959.5,-1474952.8,0.0068668607,2.3848202,-635092.6,-947838.56,-837471.75,-1474462.2,4.106708,2.616855,-2237693.0,8.9760475,-1039188.0,297170.44
239370.92,813158.8,-926022.2,-636863.8,-1895546.1,172901.4,-993463.2,1397187.5,2.6677074,2.0192554,190317.88,1452524.8,-928502.25,2.1702132,-3343756.8,6.5498033,-970780.94,-1023956.9,147605.86,-749019.06,-1407092.5,1300922.6,-739074.06,754450.56,106187.664,1004017.5,-2068748.8,467021.22,-1766292.5,-3775869.2,13.696681,-1195034.9,-838660.6,-1488109.9,-1811280.6,-1526456.9,-2305008.0,-2012399.5,-2151061.2,-959863.94,542051.5
-55331.684,48911.01,-233254.1,-857117.0,159752.33,461395.56,3.5326505,1103108.8,2.6267962,2.2251148,-1332842.2,-171579.27,-1123463.2,-1778623.1,-2213863.5,6.2029676,0.99122566,-912820.5,-636589.0,-558484.4,-476038.47,-181006.61,1.0332253,112760.49,91224.375,-491375.62,-2273618.2,-711057.06,-726770.0,3.9569368,-2766794.0,747121.1,1128115.1,-2784787.5,-924586.2,10.452009,-2996746.8,-3414173.8,-3689378.5,32649.652,-349438.34
348567.62,68591.36,-89031.2,-955762.4,355995.56,-180723.28,0.01833878,252332.62,458929.16,-200745.69,-1203295.8,-323719.16,-853922.56,563306.0,-2794554.2,1.651681,-1410834.1,-1118622.1,382362.88,-366830.8,-1504881.6,1173711.6,0.9815767,-223256.28,-814118.44,18987.045,-1740782.2,-936397.06,-1212734.1,0.8204624,1.7652164,-926944.25,-1276877.8,-590125.44,1.03522,3.6392577,-2763974.0,-308047.72,-5043112.5,905183.6,364245.75
848560.8,550055.3,-151910.08,1207924.4,-712294.44,-116206.9,-3082437.2,-505736.88,2.572489,-737291.4,1654083.5,1390392.8,-707820.25,-621412.0,-2444241.5,-3391863.0,-1057894.2,-480466.44,-845451.06,-2175167.0,-1249292.5,387763.75,-88408.266,376447.03,-271390.03,291216.5,-4434812.5,-133522.44,627604.56,-2459024.2,26.005064,242650.69,-2692970.5,-712467.1,-1780787.6,-889787.9,-3019094.0,-1879141.4,-3428636.8,-313420.84,-856896.75
-1070143.0,3.1014042,-555721.25,64556.535,1093969.2,-1854614.4,-3562293.8,1452767.1,2.3876083,1.5082247,-102682.17,21769.178,-1282924.0,1.3530297,-2845764.2,5.9727893,0.9897886,229999.38,-162025.27,-548156.2,-1045381.5,-385470.34,-2631867.0,-1284330.1,-1460208.9,-101068.09,-3173789.2,435344.16,566420.5,6.071483,4.6750956,-445083.16,1147446.4,254057.7,1.6360865,-2287450.8,2.7390075,-229675.7,-4211227.0,-33111.547,-1628454.4
474698.5,44608.242,-597104.5,372148.56,736058.56,-863654.1,9.914305,378727.62,-2845420.2,-3140117.2,-947007.7,-495581.25,-842522.6,1503303.0,-2876211.8,-4577143.0,-1220887.0,449950.78,-1211561.2,-736840.5,-898331.4,959655.7,1.2976075,-553972.56,-862532.4,807803.25,-2791867.2,-359987.12,314248.12,-2406253.8,-1996832.0,-251634.83,901334.06,-139802.4,4.2105412,64.767105,-2314014.2,-105736.984,-3468568.0,-332133.3,652078.8
