0,1,2,3
0.48662138,0.66473687,0.11917731,0.49153587
0.62852097,0.31248307,0.36575463,0.71162224
0.4603708,0.6249002,-0.0382927,0.12034804
0.3044764,0.22366698,0.37396494,0.55049384
0.47734398,0.32375464,0.34155115,0.68102443
0.73626876,0.53557295,0.16585375,0.73231536
0.32614648,0.3738327,0.36589506,0.66883403
0.17462035,0.021623308,0.77043796,0.57776153
0.27222124,0.46683174,0.13549052,0.5599781
0.23891848,0.19515449,0.341576,0.57345074
0.27819163,0.5772181,0.12094905,0.41393766
0.5610733,0.23829292,0.34154385,0.6005026
0.13130073,0.5974456,0.15003613,0.28072044
0.20281538,0.4826548,0.28868192,0.60934097
0.8026552,0.74186915,0.06613253,0.55200243
0.351166,0.38816652,0.16893262,0.6811067
0.4979665,0.6226365,-0.022367697,0.2951649
0.5578759,0.7350016,0.15729035,0.47526607
0.32201788,0.5166909,0.46943644,0.71507037
0.32507154,0.62114394,0.14228632,0.45974642
0.5996549,0.30920082,0.35011458,0.68125254
0.2730223,0.06871851,0.5690503,0.51148134
0.12441975,0.68686044,0.18354718,0.16690695
0.52678794,0.55445504,0.37279,0.64587796
0.30632505,0.19940703,0.44767588,0.61850184
0.13516916,0.55072194,0.20987506,0.5371279
0.6859997,0.47280258,0.34310177,0.8093801
0.1666233,0.5806519,0.15555619,0.3312718
0.56422716,0.49011856,0.26391062,0.69770634
0.39465404,0.662555,0.04758915,0.41846353
0.6254878,0.35547364,0.3431242,0.64770997
0.38740602,0.42294416,0.5095298,0.6817027
0.3218467,0.38577515,0.29303485,0.6797203
0.5006847,0.7505257,0.16889709,0.44670227
0.32468128,0.8310604,0.055056058,0.14039354
0.6852534,0.82747513,0.0071447687,0.24526367
0.29773232,0.6211536,0.08683585,0.4684731
0.68185055,0.83038586,0.007991412,0.25690755
0.120243184,0.6650509,0.3788467,0.5527568
0.5435524,0.3699517,0.29303485,0.56267285
0.37578908,0.17492706,0.4543622,0.6911441
0.3094814,0.22127561,0.41444647,0.6810471
0.7619168,0.5790108,0.124558605,0.7223968
0.7643337,0.7693357,0.036938068,0.50016254
0.4179704,0.5663975,0.03053668,0.40628618
0.6795637,0.69163597,0.076572984,0.54715234
0.44339764,0.6605157,0.3432516,0.59543747
0.5710861,0.77530503,0.052189894,0.57937855
0.5778,0.46922022,0.37721932,0.7489102
0.4799356,0.28210586,0.44020897,0.6821822
0.35790256,0.25374484,0.3583951,0.6814597
0.15020472,-0.0011397778,0.82468456,0.52236676
0.6005792,0.56423336,0.19812666,0.6817224
0.011577897,0.674509,0.165677,0.12552403
0.08235995,0.70149,0.16698618,0.08090716
0.6356211,0.47548974,0.23489375,0.7287563
0.50974333,0.75522906,0.17604539,0.44088447
0.5434192,0.6708134,0.15576889,0.50458
0.2316335,0.40279245,0.23337394,0.6428599
0.54703736,0.28852612,0.52917176,0.47354075
0.47779423,0.4669064,0.10325644,0.6818072
0.22975749,0.4572037,0.20247918,0.6810994
0.4577663,0.62234735,-0.007751885,0.29171425
0.24697714,0.12708524,0.54838413,0.68102604
0.38575184,0.48026633,0.15523778,0.68403107
0.3383406,0.19918339,0.42538252,0.659889
0.49138445,0.7773213,0.085596874,0.5619185
0.58107394,0.75746536,0.07720899,0.4968202
0.3382242,0.25008747,0.36550683,0.6820913
0.4303915,0.51385224,0.11840089,0.58034873
0.49841416,0.5313926,0.05070312,0.6189328
0.41207504,0.7194776,0.34407783,0.56601346
0.10561162,0.58438504,0.20024985,0.53185195
0.72621083,0.32987192,0.34268257,0.65223664
0.4235002,0.4214509,0.21847317,0.6816918
-0.00829145,0.7748578,0.1680835,0.32620415
0.17364125,0.007444622,0.34133267,0.56644523
0.3703507,0.27576134,0.3654366,0.7524692
0.47968698,0.5918477,-0.0048857024,0.2839544
0.44040012,0.45556164,0.17569149,0.6583795
0.25455654,0.87613934,0.2523055,0.18113469
0.1564353,0.16164285,0.6025275,0.66085917
0.28738,0.50594234,0.18825366,0.5397201
0.6767223,0.8221766,0.00066905096,0.21940035
0.42660797,0.48601356,0.15587503,0.6810533
0.31478083,0.53803647,0.15750262,0.49013558
0.58641326,0.5413945,0.28949553,0.6825713
0.12550154,0.6312566,0.15672414,0.19439557
-0.02619578,0.8044884,0.17795625,0.05805278
0.6172854,0.77791643,0.026852783,0.5144986
0.54373723,0.4958654,0.34168312,0.6969644
0.5799773,0.79911417,0.042885162,0.50792235
0.19957002,0.20418616,0.34144795,0.6221664
0.3975242,0.79695,0.2650092,0.2641256
0.31235707,0.08110819,0.5866025,0.6810258
0.39404193,0.5753534,0.029297702,0.3632863
0.2924124,0.07237588,0.5990253,0.5454295
0.41646227,0.76814175,0.2367357,0.30152443
0.13017102,0.5855789,0.15725483,0.30508345
0.5963753,0.829192,0.034885492,0.2951649
0.2701672,0.2044098,0.34158438,0.60104185
0.50654554,0.576623,0.35652012,0.6947015
0.53908145,0.69036996,0.17551456,0.6332675
0.47462034,0.5423647,0.04879509,0.6192562
0.47810626,0.72858137,0.2280298,0.38246495
0.2519068,0.45690522,0.25686908,0.6857652
0.5979843,0.850837,0.040725213,0.27166873
0.3186082,0.284793,0.44452474,0.6576252
0.5806893,0.69305706,0.14366654,0.5715104
0.2933093,0.55952996,0.07243066,0.44293487
0.25630245,0.27217966,0.34161052,0.7055869
0.30926234,0.23515855,0.39806303,0.6818467
0.38495693,0.5656508,0.10325644,0.44519365
0.3104742,0.5300508,0.34156996,0.7034315
0.6552987,0.48653582,0.2575753,0.69285715
0.6805017,0.6531078,0.10166229,0.640812
0.4372013,0.46518987,0.16514629,0.68122053
0.5329604,0.28725648,0.3415402,0.4569459
0.31862187,0.7118961,0.41854686,-4.1691506e-05
0.43030044,0.48138592,0.09688397,0.6658168
0.038430978,0.7558242,0.18850145,0.2096985
0.5329946,0.62216514,0.011282963,0.48571807
0.32049105,0.846433,0.34347162,0.38720754
-0.022306815,0.74963117,0.19455262,0.3606941
0.5780944,0.51922655,0.30219918,0.6888812
0.5151574,0.7088048,0.19550829,0.44390175
0.06672191,0.27359718,0.3414765,0.5568525
0.22595751,0.87203467,0.2818882,0.16410643
0.5813398,0.23284651,0.5058872,0.64630884
0.11398525,0.26173052,0.6287856,0.6810308
0.49518356,0.28456935,0.31890061,0.68482304
0.47497636,0.62461764,-0.023003703,0.16313958
0.59373146,0.7708253,0.055696197,0.52236676
0.3288578,0.22478512,0.34159207,0.6810373
0.43083036,0.79709786,0.024730003,0.107845634
0.30673584,0.38092387,0.35291055,0.6524517
0.4972065,0.53639174,0.045045115,0.6398418
0.61596394,0.4995221,0.20368265,0.70364654
0.21172306,0.16231376,0.34148124,0.72606415
0.167664,0.46899623,0.34412524,0.60136527
0.6454393,0.6223612,0.34263542,0.6500813
0.6722103,0.7196255,0.114258565,0.66258365
0.25976008,0.572219,0.078022584,0.4065029
0.16161145,0.57699454,0.14837301,0.34571624
0.49111328,0.77806795,0.08750903,0.56730705
0.2880099,0.21702309,0.34162578,0.58325845
0.68788254,0.4772809,0.23326656,0.69002074
0.62975335,0.56498,0.2016656,0.69567084
0.40226763,0.6734248,0.19759595,0.570756
0.28665423,0.11432403,0.34155253,0.54769164
0.28763333,0.85135996,0.2913705,0.37157953
0.28280637,0.23851657,0.40853655,0.66958916
0.65275174,0.769855,0.05176864,0.5798094
0.15524395,0.55146855,0.21143204,0.6033048
0.69574267,0.8547937,0.016238872,0.28072044
0.23996603,0.2097083,0.54066944,0.6892296
