0,1,2,3,4,5,6,7,8,9,10
0.3027523,0.41095862,0.0099999895,0.06849314,0.10684456,0.10714286,0.09187279,0.4628019,0.4737797,0.12574844,0.21428579
0.32110092,0.47945172,0.0,0.21917807,0.13067774,0.07142857,0.028268551,0.60531664,0.46876597,0.21624891,0.21428579
0.21100917,0.49315032,0.20999978,0.21917807,0.10350567,0.27406645,0.20848057,0.59612316,0.6220466,0.2335328,0.32069394
0.36933404,0.17808206,0.4799995,0.06164383,0.24206972,0.07142857,0.038869258,0.5332943,0.4409444,0.43113744,0.17857139
0.40047264,0.1369862,0.50999945,0.06164383,0.5492478,0.28571427,0.17667845,0.47965887,0.4669181,0.44910154,0.14285713
0.21100917,0.2739724,0.24999975,0.10413867,0.115191795,0.16071428,0.109540634,0.47582713,0.5669286,0.10179634,0.46428567
0.5688073,0.11643827,0.41999957,0.103479035,0.12020013,0.32142857,0.10692957,0.36855626,0.4251964,0.21635762,0.6249998
0.22935778,0.31263793,0.16999984,0.06164383,0.11686125,0.3113433,0.13064225,0.4367469,0.5007556,0.22617917,0.4346694
0.34862378,0.34246552,0.11999988,0.06164383,0.100166775,0.66071427,0.14134276,0.33713955,0.5039366,0.23122193,0.4255407
0.33027518,0.27135718,0.30150133,0.10958903,0.11352234,0.19642857,0.18021202,0.54861677,0.4409444,0.08383228,0.107142895
0.20183487,0.16438346,0.31999967,0.06164383,0.09181955,0.05357143,0.007067138,0.16550529,0.48818842,0.13173644,0.43999887
0.34862378,0.30136964,0.039999958,0.07534246,0.11686125,0.16071428,0.056537103,0.5332943,0.3779524,0.065868214,0.32528198
0.37425378,0.109588966,0.39999962,0.10273973,0.066777855,0.05357143,0.014134276,0.22373973,0.4645664,0.22155674,0.7857142
0.32110092,0.3116436,0.21999978,0.10467692,0.10851401,0.19642857,0.20848057,0.46433187,0.43307042,0.10778435,0.14285713
0.44954124,0.29452035,0.3004786,0.0958904,0.14043547,0.19642857,0.109540634,0.5160762,0.3385824,0.2035927,0.21428579
0.25688073,0.2534245,0.27062675,0.08219177,0.11675586,0.23214285,0.06713781,0.4589765,0.4803144,0.1796406,0.6428571
0.4220183,0.26669797,0.22999978,0.09620922,0.12541673,0.30357143,0.2508834,0.6574221,0.3228344,0.10778435,0.31719247
0.27522933,0.2534245,0.2869804,0.06849314,0.12633614,0.4642857,0.12119021,0.49191684,0.5275586,0.1497005,0.107142895
0.28440362,0.40068462,0.272458,0.116438344,0.12020013,0.14285713,0.07067138,0.5332943,0.5118106,0.09580833,0.3289034
0.37614673,0.45205444,0.50999945,0.05479452,0.67278683,0.2776545,0.11093352,0.46663833,0.20472421,0.5029937,0.14285713
0.045871556,0.2671231,0.17999983,0.10467692,0.050083388,0.26785713,0.33568904,0.13485582,0.5669286,0.3233531,0.8035712
0.35047972,0.30136964,0.2731633,0.07534246,0.11853068,0.21428572,0.33215547,0.39996845,0.40944842,0.11377237,0.26785707
0.23853208,0.4143833,0.049999952,0.09583948,0.121938005,0.05357143,0.017667845,0.42602345,0.45216814,0.035928108,0.44642845
0.33027518,0.18493137,0.3799996,0.04109589,0.07679453,0.16071428,0.10591622,0.42602345,0.40944842,0.22042911,0.25000003
0.28440362,0.57534206,0.19999981,0.104332656,0.058430616,0.25,0.19081272,0.37238804,0.48818842,0.065868214,0.44642845
0.3027523,0.41095862,0.16999984,0.105611764,0.14023349,0.3392857,0.113074206,0.54861677,0.47370338,0.11976039,0.1964286
0.34862378,0.2913485,0.35999966,0.10057011,0.12854737,0.28114787,0.17314488,0.521799,0.44881842,0.14371248,0.35714278
0.37498018,0.27257034,0.28069887,0.49315068,0.14357238,0.2858171,0.30388692,0.63443613,0.3622044,0.1497005,0.3383219
0.33944952,0.36301342,0.27318695,0.1369863,0.12854737,0.28571427,0.12014134,0.56624097,0.43307042,0.13173644,0.3253254
0.28440362,0.31506824,0.0099999895,0.06164383,0.12687792,0.27460548,0.042402826,0.38617596,0.45669243,0.13772446,0.37499997
0.21100917,0.21917793,0.0,0.03424657,0.09682789,0.5535714,0.113074206,0.4644383,0.45669243,0.1497005,0.53571415
